Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities,Pricepersqft
Bhangal,Kathmandu,3000000,0,0,3.0,0,North,2074.0,1711.25,0.0,None,1711.25,0,1753.1044558071585
Other,Chitwan,180000000,0,0,3.0,0,East,2074.0,254608.2,30.0, Soil Stabilized,254608.2,0,706.9685893855735
Other,Kathmandu,23000000,3,3,3.0,1,South,2074.0,1583.0,20.0,None,1583.0,14,14529.374605180037
Other,Dharan,700000,0,0,3.0,0,East,2074.0,288.925,25.0, Blacktopped,288.925,0,2422.7740763173833
Other,Kathmandu,290000,0,1,1.0,1,East,2074.0,900.0,12.0, Paved,900.0,5,322.22222222222223
Other,Kathmandu,11000000,0,0,3.0,0,North,2074.0,14015.25,32.0,None,14015.25,0,784.8593496370025
Other,Kathmandu,11000000,0,0,3.0,0,South,2074.0,3422.5,40.0,None,3422.5,0,3214.024835646457
Other,Lalitpur,3500000,0,0,3.0,0,East,2074.0,1369.0,19.68504,None,1369.0,0,2556.610664718773
Bhaisepati,Lalitpur,16500000,3,2,5.0,1,East,2058.0,1200.0,40.0, Blacktopped,1200.0,14,13750.0
Other,Kathmandu,10000000,0,0,3.0,0,East,2074.0,8898.5,35.0, Blacktopped,8898.5,0,1123.7849075686913
Kapan,Kathmandu,3500000,0,0,3.0,0,East,2074.0,5476.0,14.0, Gravelled,5476.0,0,639.1526661796933
Other,Kathmandu,2400000,0,0,3.0,0,South East,2074.0,1369.0,16.0, Blacktopped,1369.0,0,1753.1044558071585
Other,Bhaktapur,2200000,0,0,3.0,0,East,2074.0,7412.75,13.0,None,7412.75,0,296.78594313851136
Imadol,Lalitpur,3000000,0,0,3.0,0,East,2074.0,13330.75,13.0, Blacktopped,13330.75,4,225.04360219792585
Other,Kathmandu,3500000,0,0,3.0,0,South West,2074.0,342.25,16.0,None,342.25,0,10226.442658875092
Other,Kathmandu,760000,0,0,3.0,0,North West,2074.0,342.25,0.0,None,342.25,0,2220.598977355734
Other,Kathmandu,7000000,0,0,3.0,0,South East,2074.0,7974.5,26.0,None,7974.5,0,877.7979810646435
Other,Kathmandu,2500000,0,0,3.0,0,South West,2074.0,11054.75,14.0,None,11054.75,0,226.14713132363917
Other,Kathmandu,6000000,0,0,3.0,0,North,2074.0,2738.0,32.0,None,2738.0,0,2191.3805697589482
Samakhusi,Kathmandu,24500000,0,3,2.0,1,East,2074.0,1026.75,16.0, Gravelled,1026.75,18,23861.699537375214
Budhanilkantha,Kathmandu,2850000,0,0,3.0,0,West,2074.0,5818.25,13.0,None,5818.25,0,489.8380097108237
Other,Kathmandu,2500000,0,0,3.0,0,South East,2074.0,11054.75,14.0,None,11054.75,0,226.14713132363917
Budhanilkantha,Kathmandu,2600000,0,0,3.0,0,North,2074.0,10952.0,14.0,None,10952.0,0,237.39956172388605
Other,Kathmandu,17000000,5,3,3.0,1,West,2074.0,1026.75,14.0,None,1026.75,9,16557.09763817872
Other,Kathmandu,2850000,0,0,3.0,0,South East,2074.0,5356.25,12.0,None,5356.25,0,532.0886814469078
Other,Kathmandu,4000000,0,0,3.0,0,South East,2074.0,16428.0,20.0,None,16428.0,0,243.48672997321646
Other,Others,250000,0,0,3.0,0,East,2074.0,222.25,20.0, Gravelled,222.25,0,1124.859392575928
Other,Kathmandu,15000000,0,0,3.0,1,East,2074.0,11741.25,20.0, Blacktopped,11741.25,0,1277.5471095496646
Other,Others,235000,0,0,3.0,0,East,2074.0,288.925,16.0, Gravelled,288.925,0,813.3598684779787
Chabahil,Kathmandu,5500000,0,0,3.0,0,South East,2074.0,6160.5,36.0,None,6160.5,0,892.7846765684603
Other,Kathmandu,1150000,0,0,3.0,0,East,2074.0,6040.75,11.0, Gravelled,6040.75,0,190.37371187352565
Sitapaila,Kathmandu,4200000,0,0,3.0,0,East,2074.0,4449.25,36.08924, Blacktopped,4449.25,0,943.9793223577008
Other,Lalitpur,3500000,0,0,3.0,0,East,2074.0,1500.0,0.0,None,1500.0,0,2333.3333333333335
Other,Lalitpur,11900000,2,1,3.0,0,North,2074.0,683.0,30.0,None,683.0,3,17423.133235724745
Other,Kathmandu,28500000,6,6,3.0,1,South East,2074.0,9001.25,20.0,None,9001.25,0,3166.2269129287597
Other,Lalitpur,21500000,0,0,3.0,1,South West,2074.0,8316.75,13.0, Gravelled,8316.75,1,2585.1444374304865
Kapan,Kathmandu,3000000,0,0,3.0,0,East,2074.0,1369.0,13.0, Soil Stabilized,1369.0,0,2191.3805697589482
Other,Lalitpur,12500000,3,1,2.0,1,West,2074.0,1711.25,16.0, Blacktopped,1711.25,4,7304.601899196494
Other,Kathmandu,32500000,11,0,3.0,1,East,2074.0,1540.125,20.0, Blacktopped,1540.125,0,21102.183264345425
Imadol,Lalitpur,22000000,5,3,2.5,1,North West,2076.0,1369.0,10.0, Gravelled,1369.0,6,16070.124178232287
Other,Others,11000000,3,4,3.0,1,East,2018.0,1369.0,15.0, Blacktopped,1369.0,3,8035.062089116143
Other,Kathmandu,17000000,0,2,3.0,1,South,2017.0,1060.975,20.0, Blacktopped,1095.2,1,16022.997714366504
Other,Bhaktapur,3000000,0,0,3.0,0,West,2074.0,5014.0,13.0, Blacktopped,5014.0,2,598.3246908655764
Other,Lalitpur,11000000,2,1,1.5,2,West,2076.0,11619.5,13.0, Gravelled,11619.5,4,946.6844528594173
Other,Lalitpur,900000,0,0,3.0,0,East,2074.0,1711.25,10.0,None,1711.25,0,525.9313367421476
Other,Kathmandu,15000000,0,0,3.0,0,East,2074.0,2738.0,45.0, Blacktopped,2738.0,0,5478.45142439737
Imadol,Lalitpur,13000000,4,2,1.5,1,North East,2076.0,1026.75,13.0, Gravelled,256687.5,4,12661.309958607257
Other,Kathmandu,1300000,0,0,3.0,0,North,2074.0,4791.5,20.0, Blacktopped,4791.5,0,271.3137848272983
Other,Others,1800000,0,0,3.0,0,East,2074.0,12304.0,12.0, Blacktopped,12304.0,0,146.29388816644993
Other,Kathmandu,10500000,0,0,3.0,0,East,2074.0,6040.75,0.0,None,6040.75,0,1738.1947605843645
Other,Kathmandu,50000000,3,3,3.0,2,South,2070.0,27380.0,20.0, Blacktopped,27380.0,1,1826.1504747991235
Other,Chitwan,10500000,4,2,3.0,1,South,2009.0,1369.0,13.0, Blacktopped,1369.0,3,7669.831994156319
Tokha,Kathmandu,30000000,6,5,3.0,2,North,2019.0,1711.25,14.0, Gravelled,3922.08,6,17531.044558071586
Bhaisepati,Lalitpur,31500000,4,4,3.0,1,South,2012.0,1471.675,12.0, Paved,1471.675,7,21404.18230927345
Other,Lalitpur,18000000,3,3,3.0,1,South East,2074.0,1029.75,18.0,None,1029.75,8,17479.970866715223
Other,Chitwan,50000000,0,0,0.0,0,East,2074.0,218235.6,20.0, Soil Stabilized,218235.6,0,229.11019100458404
Budhanilkantha,Kathmandu,57500000,4,5,3.0,1,South West,2076.0,2738.0,20.0, Paved,2738.0,11,21000.73046018992
Chabahil,Kathmandu,30000000,0,3,3.0,1,East,2074.0,684.5,25.0, Blacktopped,684.5,13,43827.61139517896
Chabahil,Kathmandu,15500000,0,0,3.0,0,East,2074.0,1369.0,18.0, Blacktopped,1369.0,0,11322.132943754565
Baluwatar,Kathmandu,7500000,0,0,3.0,0,East,2074.0,10370.25,20.0, Blacktopped,10370.25,0,723.2226802632531
Chabahil,Kathmandu,60000000,0,0,2.0,3,East,2074.0,10370.25,15.0, Blacktopped,10370.25,18,5785.781442106025
Other,Kathmandu,1200000,0,0,3.0,0,North East,2074.0,12304.0,20.0, Concrete,12304.0,0,97.52925877763329
Other,Kathmandu,2700000,0,0,3.0,0,North East,2074.0,1711.25,12.0, Blacktopped,3600.0,2,1577.7940102264427
Other,Kathmandu,35000000,7,3,2.5,2,West,2076.0,8318.75,12.0, Paved,8318.75,11,4207.362885048836
Other,Kathmandu,3600000,0,0,3.0,0,East,2074.0,3080.25,16.0, Blacktopped,3080.25,5,1168.736303871439
Chabahil,Kathmandu,25000000,6,4,4.0,2,East,2000.0,855.625,20.0, Paved,855.625,7,29218.407596785975
Other,Kathmandu,15500000,0,0,2.0,0,North,2015.0,8316.75,13.0, Blacktopped,8316.75,4,1863.7087804731416
Chabahil,Kathmandu,9500000,0,0,3.0,0,East,2074.0,4449.25,40.0, Blacktopped,4449.25,0,2135.1913243805134
Other,Kathmandu,75000000,0,0,5.0,0,East,2074.0,3080.25,12.0, Blacktopped,3080.25,18,24348.672997321646
Chabahil,Kathmandu,3500000,0,0,3.0,0,East,2074.0,4449.25,25.0, Blacktopped,4449.25,0,786.649435298084
Other,Kathmandu,7500000,0,0,3.0,0,East,2074.0,13690.0,15.0, Blacktopped,13690.0,0,547.8451424397371
Chabahil,Kathmandu,75000000,0,0,3.0,0,East,2074.0,3422.5,16.0, Gravelled,3422.5,24,21913.80569758948
Chabahil,Kathmandu,4500000,0,0,3.0,0,East,2074.0,2738.0,16.0, Blacktopped,2738.0,0,1643.535427319211
Budhanilkantha,Kathmandu,3700000,0,0,3.0,0,East,2074.0,3080.25,16.0, Gravelled,3080.25,0,1201.2012012012012
Other,Kathmandu,39500000,0,0,4.0,3,East,2074.0,2053.5,18.0, Blacktopped,2053.5,20,19235.4516678841
Other,Kathmandu,5000000,0,0,3.0,0,East,2074.0,3422.5,16.0, Gravelled,3422.5,0,1460.9203798392987
Golfutar,Kathmandu,37000000,5,6,3.0,2,South,2076.0,1369.0,20.0, Blacktopped,1369.0,6,27027.027027027027
Other,Lalitpur,25600000,0,0,4.0,1,East,2013.0,1369.0,10.0, Gravelled,4100.0,9,18699.780861943025
Other,Chitwan,1600000,0,0,3.0,0,South East,2074.0,19054.0,30.0, Blacktopped,19054.0,2,83.97186942374304
Budhanilkantha,Kathmandu,36500000,5,4,2.0,2,East,2020.0,19936.25,20.0, Blacktopped,19936.25,30,1830.8357890776851
Golfutar,Kathmandu,102500000,5,0,2.0,0,East,2074.0,6502.75,20.0, Blacktopped,6502.75,30,15762.56199300296
Other,Others,899999,0,0,3.0,0,East,2074.0,666.75,0.0, Blacktopped,666.75,0,1349.8297712785902
Other,Kathmandu,22500000,5,3,3.0,1,East,2020.0,4671.75,14.0, Blacktopped,4671.75,25,4816.182372772516
Other,Kathmandu,23500000,5,3,3.0,2,East,2020.0,1026.75,15.0, Blacktopped,1026.75,25,22887.752617482347
Budhanilkantha,Kathmandu,22500000,4,3,3.0,1,East,2076.0,1029.75,15.0, Gravelled,1029.75,24,21849.963583394027
Budhanilkantha,Kathmandu,32500000,5,4,3.0,1,East,2020.0,1369.0,15.0, Gravelled,1369.0,26,23739.956172388604
Other,Kathmandu,42500000,5,0,3.0,4,East,2074.0,4107.0,15.0, Blacktopped,4107.0,24,10348.1860238617
Other,Kathmandu,11000000,10,3,2.0,0,East,2072.0,1369.0,3.0,None,1369.0,2,8035.062089116143
Other,Kathmandu,42500000,5,3,2.0,1,East,2074.0,1711.25,12.0, Paved,1711.25,26,24835.646457268078
Budhanilkantha,Kathmandu,35000000,5,4,2.0,2,East,2020.0,2053.5,18.0, Gravelled,2053.5,26,17044.07109812515
Tokha,Kathmandu,2200000,0,0,3.0,0,East,2074.0,1711.25,20.0, Blacktopped,1711.25,0,1285.6099342585828
Other,Kathmandu,2400000,0,0,3.0,0,East,2074.0,1711.25,16.0, Blacktopped,1711.25,0,1402.4835646457268
Budhanilkantha,Kathmandu,2400000,0,0,3.0,0,South East,2074.0,1711.25,12.0, Gravelled,1711.25,0,1402.4835646457268
Golfutar,Kathmandu,2700000,0,0,3.0,0,West,2074.0,4449.25,13.0, Blacktopped,4449.25,0,606.8438500870933
