Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities
Other,Kathmandu,35000000,7,3,2.5,2,West,2076.0,8318.75,12.0, Paved,8318.75,11
Other,Kathmandu,3600000,0,0,3.0,0,East,2074.0,3080.25,16.0, Blacktopped,3080.25,5
Chabahil,Kathmandu,25000000,6,4,4.0,2,East,2000.0,855.625,20.0, Paved,855.625,7
Other,Kathmandu,15500000,0,0,2.0,0,North,2015.0,8316.75,13.0, Blacktopped,8316.75,4
Chabahil,Kathmandu,9500000,0,0,3.0,0,East,2074.0,4449.25,40.0, Blacktopped,4449.25,0
Other,Kathmandu,75000000,0,0,5.0,0,East,2074.0,3080.25,12.0, Blacktopped,3080.25,18
Chabahil,Kathmandu,3500000,0,0,3.0,0,East,2074.0,4449.25,25.0, Blacktopped,4449.25,0
Other,Kathmandu,7500000,0,0,3.0,0,East,2074.0,13690.0,15.0, Blacktopped,13690.0,0
Chabahil,Kathmandu,75000000,0,0,3.0,0,East,2074.0,3422.5,16.0, Gravelled,3422.5,24
Chabahil,Kathmandu,4500000,0,0,3.0,0,East,2074.0,2738.0,16.0, Blacktopped,2738.0,0
Budhanilkantha,Kathmandu,3700000,0,0,3.0,0,East,2074.0,3080.25,16.0, Gravelled,3080.25,0
Other,Kathmandu,39500000,0,0,4.0,3,East,2074.0,2053.5,18.0, Blacktopped,2053.5,20
Other,Kathmandu,5000000,0,0,3.0,0,East,2074.0,3422.5,16.0, Gravelled,3422.5,0
Golfutar,Kathmandu,37000000,5,6,3.0,2,South,2076.0,1369.0,20.0, Blacktopped,1369.0,6
Budhanilkantha,Kathmandu,36500000,5,4,2.0,2,East,2020.0,19936.25,20.0, Blacktopped,19936.25,30
Other,Kathmandu,22500000,5,3,3.0,1,East,2020.0,4671.75,14.0, Blacktopped,4671.75,25
Other,Kathmandu,23500000,5,3,3.0,2,East,2020.0,1026.75,15.0, Blacktopped,1026.75,25
Budhanilkantha,Kathmandu,22500000,4,3,3.0,1,East,2076.0,1029.75,15.0, Gravelled,1029.75,24
Budhanilkantha,Kathmandu,32500000,5,4,3.0,1,East,2020.0,1369.0,15.0, Gravelled,1369.0,26
Other,Kathmandu,42500000,5,0,3.0,4,East,2074.0,4107.0,15.0, Blacktopped,4107.0,24
Other,Kathmandu,11000000,10,3,2.0,0,East,2072.0,1369.0,3.0,None,1369.0,2
Other,Kathmandu,42500000,5,3,2.0,1,East,2074.0,1711.25,12.0, Paved,1711.25,26
Budhanilkantha,Kathmandu,35000000,5,4,2.0,2,East,2020.0,2053.5,18.0, Gravelled,2053.5,26
Tokha,Kathmandu,2200000,0,0,3.0,0,East,2074.0,1711.25,20.0, Blacktopped,1711.25,0
Other,Kathmandu,2400000,0,0,3.0,0,East,2074.0,1711.25,16.0, Blacktopped,1711.25,0
Budhanilkantha,Kathmandu,2400000,0,0,3.0,0,South East,2074.0,1711.25,12.0, Gravelled,1711.25,0
Golfutar,Kathmandu,2700000,0,0,3.0,0,West,2074.0,4449.25,13.0, Blacktopped,4449.25,0
Tokha,Kathmandu,2300000,0,0,3.0,0,East,2074.0,2053.5,20.0, Blacktopped,2053.5,0
Golfutar,Kathmandu,37000000,5,5,3.0,1,South,2076.0,1369.0,20.0, Blacktopped,1369.0,7
Other,Kathmandu,45000000,6,6,3.0,3,East,2076.0,2053.5,20.0, Blacktopped,2053.5,6
Other,Kathmandu,17000000,5,3,3.0,1,East,2074.0,1283.4375,12.0, Paved,1283.4375,5
