,Address,City,Bedroom,Bathroom,Parking,Face,Views,Area,Road Width,Road Type
206, Jhamsikhel,Lalitpur,2,1,0,North,469.0,1369.0,30.0,
207, Pasikot,Kathmandu,6,6,1,South East,103.0,177970.0,20.0,
208, Tikathali,Lalitpur,0,0,1,South West,100.0,109520.0,13.0, Gravelled
209,Pragati tol,Kathmandu,2,1,0,West,529.0,11978.75,0.0,
210, Kapan,Kathmandu,0,0,0,East,135.0,1369.0,13.0, Soil Stabilized
211, Godawari,Lalitpur,3,1,1,West,214.0,171125.0,16.0, Blacktopped
212, Bafal,Kathmandu,11,0,1,East,453.0,15401.25,20.0, Blacktopped
213, Panii Tyanki,Lalitpur,5,3,1,North West,1700.0,136900.0,10.0, Gravelled
214, Gaidakot,Nawalpur,3,4,1,East,247.0,1369.0,15.0, Blacktopped
215, Tarkeshwor,Kathmandu,0,2,1,South,151.0,10609.75,20.0, Blacktopped
216, Sallaghari,Bhaktapur,0,0,0,West,1500.0,140322.5,13.0, Blacktopped
217, Tikathali,Lalitpur,2,1,2,West,1600.0,78717.5,13.0, Gravelled
218, Lubhu,Lalitpur,0,0,0,East,1100.0,1711.25,10.0,
219, Maitidevi,Kathmandu,0,0,0,East,251.0,273800.0,45.0, Blacktopped
220, Imadol,Lalitpur,4,2,1,North East,786.0,102675.0,13.0, Gravelled
221,kathmandu,Kathmandu,28,0,0,East,460.0,174889.75,29.0,
222, Gokarneshwor,Kathmandu,0,0,0,North,516.0,4791.5,20.0, Blacktopped
223, Machhegaun,Kirtipur,0,0,0,East,503.0,147167.5,12.0, Blacktopped
224, Pulchowk,Lalitpur,8,5,7,East,192.0,4107.0,0.0,
225, Balkhu,Kathmandu,0,0,0,East,198.0,242997.5,0.0,
226, Hattisar,Kathmandu,3,3,2,South,1600.0,27380.0,20.0, Blacktopped
227, Bharatpur,Chitwan,4,2,1,South,461.0,1369.0,13.0, Blacktopped
228, saraswoti 3,Kathmandu,6,5,2,North,434.0,1711.25,14.0, Gravelled
229, Bhaisepati,Lalitpur,4,4,1,South,290.0,14716.75,12.0, Paved
230, Harisiddhi,Lalitpur,3,3,1,South East,704.0,103701.75,18.0,
231, Bhandara,Chitwan,0,0,0,East,305.0,1369.0,20.0, Soil Stabilized
232, Budhanilkantha,Kathmandu,4,5,1,South West,493.0,2738.0,20.0, Paved
233, Chabahil Main Road.,Kathmandu,0,3,1,East,115.0,68450.0,25.0, Blacktopped
234, Satdobato,Lalitpur,3,3,3,East,223.0,3764.75,20.0, Blacktopped
235, Chabahil,Kathmandu,0,0,0,East,185.0,136900.0,18.0, Blacktopped
236, 1 Kitta Inside from Main Road.,Kathmandu,0,0,0,East,137.0,314870.0,20.0, Blacktopped
237, Chabahil Beside Raprapa Party Office.,Kathmandu,0,0,3,East,135.0,314870.0,15.0, Blacktopped
238, Matatirtha,Kathmandu,0,0,0,North East,2600.0,147167.5,20.0, Concrete
239, Kadaghari,Kathmandu,0,0,0,North East,1400.0,171125.0,12.0, Blacktopped
240, Sankhamul,Kathmandu,7,3,2,West,1500.0,110204.5,12.0, Paved
241, Kalanki,Kathmandu,0,0,0,East,1200.0,308025.0,16.0, Blacktopped
242, Charumati bihar,Kathmandu,6,4,2,East,479.0,8556.25,20.0, Paved
243, Gothatar,Kathmandu,0,0,0,North,601.0,109520.0,13.0, Blacktopped
244, Inside Ring Road Track.,Kathmandu,0,0,0,East,123.0,444925.0,40.0, Blacktopped
245, 100 Meters From Main Road,Kathmandu,0,0,0,East,215.0,308025.0,12.0, Blacktopped
246, Dhobikhola Corridor,Kathmandu,0,0,0,East,201.0,444925.0,25.0, Blacktopped
247, Basantapur,Kathmandu,0,0,0,East,192.0,1369000.0,15.0, Blacktopped
248, 100 Meter From Ring Road,Kathmandu,0,0,0,East,150.0,342250.0,16.0, Gravelled
249, Chabahil,Kathmandu,0,0,0,East,94.0,273800.0,16.0, Blacktopped
